date,close,cash,shares,position_value,equity
2024-07-15,1040.0,1000000.0,0,0.0,1000000.0
2024-07-16,1055.0,1000000.0,0,0.0,1000000.0
2024-07-17,1030.0,1000000.0,0,0.0,1000000.0
2024-07-18,1005.0,1000000.0,0,0.0,1000000.0
2024-07-19,970.0,1000000.0,0,0.0,1000000.0
2024-07-22,939.0,1000000.0,0,0.0,1000000.0
2024-07-23,979.0,1000000.0,0,0.0,1000000.0
2024-07-26,924.0,1000000.0,0,0.0,1000000.0
2024-07-29,944.0,1000000.0,0,0.0,1000000.0
2024-07-30,940.0,1000000.0,0,0.0,1000000.0
2024-07-31,934.0,1000000.0,0,0.0,1000000.0
2024-08-01,960.0,1000000.0,0,0.0,1000000.0
2024-08-02,903.0,1000000.0,0,0.0,1000000.0
2024-08-05,815.0,1000000.0,0,0.0,1000000.0
2024-08-06,880.0,1000000.0,0,0.0,1000000.0
2024-08-07,920.0,1000000.0,0,0.0,1000000.0
2024-08-08,896.0,1000000.0,0,0.0,1000000.0
2024-08-09,934.0,1000000.0,0,0.0,1000000.0
2024-08-12,940.0,1000000.0,0,0.0,1000000.0
2024-08-13,941.0,1000000.0,0,0.0,1000000.0
2024-08-14,948.0,1000000.0,0,0.0,1000000.0
2024-08-15,943.0,1000000.0,0,0.0,1000000.0
2024-08-16,969.0,1000000.0,0,0.0,1000000.0
2024-08-19,973.0,1000000.0,0,0.0,1000000.0
2024-08-20,973.0,1000000.0,0,0.0,1000000.0
2024-08-21,958.0,1000000.0,0,0.0,1000000.0
2024-08-22,951.0,1000000.0,0,0.0,1000000.0
2024-08-23,949.0,1000000.0,0,0.0,1000000.0
2024-08-26,950.0,1000000.0,0,0.0,1000000.0
2024-08-27,942.0,1000000.0,0,0.0,1000000.0
2024-08-28,964.0,1000000.0,0,0.0,1000000.0
2024-08-29,943.0,1000000.0,0,0.0,1000000.0
2024-08-30,944.0,1000000.0,0,0.0,1000000.0
2024-09-02,948.0,1000000.0,0,0.0,1000000.0
2024-09-03,940.0,1000000.0,0,0.0,1000000.0
2024-09-04,889.0,1000000.0,0,0.0,1000000.0
2024-09-05,902.0,1000000.0,0,0.0,1000000.0
2024-09-06,918.0,1000000.0,0,0.0,1000000.0
2024-09-09,899.0,1000000.0,0,0.0,1000000.0
2024-09-10,904.0,1000000.0,0,0.0,1000000.0
2024-09-11,901.0,1000000.0,0,0.0,1000000.0
2024-09-12,940.0,1000000.0,0,0.0,1000000.0
2024-09-13,947.0,1000000.0,0,0.0,1000000.0
2024-09-16,947.0,1000000.0,0,0.0,1000000.0
2024-09-18,941.0,1000000.0,0,0.0,1000000.0
2024-09-19,960.0,1000000.0,0,0.0,1000000.0
2024-09-20,973.0,1000000.0,0,0.0,1000000.0
2024-09-23,977.0,1000000.0,0,0.0,1000000.0
2024-09-24,987.0,1000000.0,0,0.0,1000000.0
2024-09-25,1005.0,1000000.0,0,0.0,1000000.0
2024-09-26,1015.0,1000000.0,0,0.0,1000000.0
2024-09-27,1000.0,1000000.0,0,0.0,1000000.0
2024-09-30,957.0,1000000.0,0,0.0,1000000.0
2024-10-01,972.0,1000000.0,0,0.0,1000000.0
2024-10-04,977.0,1000000.0,0,0.0,1000000.0
2024-10-07,1005.0,1000000.0,0,0.0,1000000.0
2024-10-08,1010.0,1000000.0,0,0.0,1000000.0
2024-10-09,1020.0,1000000.0,0,0.0,1000000.0
2024-10-11,1045.0,1000000.0,0,0.0,1000000.0
2024-10-14,1045.0,1000000.0,0,0.0,1000000.0
2024-10-15,1070.0,1000000.0,0,0.0,1000000.0
2024-10-16,1045.0,1000000.0,0,0.0,1000000.0
2024-10-17,1035.0,1000000.0,0,0.0,1000000.0
