code,sector,name
088189,Unknown,元金2X凱基57購01
088190,Unknown,FB越南凱基57購01
088193,Unknown,中砂凱基56購01
088195,Unknown,台積電凱基53購18
088196,Unknown,台積電凱基57購05
088198,Unknown,台光電凱基53購03
088208,Unknown,新日興凱基53購02
088212,Unknown,保瑞凱基54購02
088216,Unknown,南電凱基53購01
088219,Unknown,T50反1元富57購01
088221,Unknown,香港2X元富52購01
088223,Unknown,FB越南元富54購02
088224,Unknown,FB越南元富54購03
088225,Unknown,FB越南元富57購01
088229,Unknown,華城元富52購03
088230,Unknown,台積電元富52購05
088235,Unknown,欣興元富57購01
088236,Unknown,材料元富52購01
088238,Unknown,欣興兆豐57購01
08823P,Unknown,臺股指富邦52售04
088240,Unknown,台泥富邦53購01
088241,Unknown,台塑富邦52購01
088242,Unknown,華城富邦54購01
088243,Unknown,美時富邦52購01
088247,Unknown,英業達富邦53購01
088248,Unknown,南亞科富邦53購03
088249,Unknown,京元電富邦53購02
08824P,Unknown,臺股指富邦52售05
088250,Unknown,大立光富邦52購01
088251,Unknown,奇鋐富邦53購03
088252,Unknown,奇鋐富邦53購04
088253,Unknown,奇鋐富邦54購01
088254,Unknown,亞光富邦52購02
088255,Unknown,世芯富邦54購03
088256,Unknown,神達富邦53購01
088259,Unknown,南電中信52購02
088261,Unknown,美指2X永豐57購01
088262,Unknown,FB越南永豐53購01
088263,Unknown,FB越南永豐53購02
088266,Unknown,士電永豐52購01
088270,Unknown,川湖永豐53購01
088276,Unknown,全新永豐52購01
088277,Unknown,全新永豐52購02
088278,Unknown,欣興永豐53購02
088279,Unknown,欣興永豐53購03
088281,Unknown,景碩永豐53購01
088282,Unknown,緯創永豐52購01
088283,Unknown,嘉澤永豐52購03
088286,Unknown,聯茂永豐53購01
088289,Unknown,南電永豐52購01
088290,Unknown,東哥永豐53購01
088291,Unknown,臺股指永豐56購01
088293,Unknown,英業達國票52購01
088294,Unknown,矽統國票52購02
088295,Unknown,建準國票57購01
088296,Unknown,欣興國票56購01
088297,Unknown,景碩國票57購01
088298,Unknown,上緯控國票54購01
088299,Unknown,上緯控國票57購02
088300,Unknown,jpp國票54購01
088301,Unknown,聯茂國票52購02
088302,Unknown,同欣電國票57購01
088303,Unknown,穎崴國票53購01
088304,Unknown,連加國票52購03
088306,Unknown,中興電國泰52購01
088307,Unknown,華城國泰52購01
088308,Unknown,中砂國泰52購04
088309,Unknown,台光電國泰52購05
08830P,Unknown,T50正2永豐52售02
088310,Unknown,奇鋐國泰52購01
088311,Unknown,欣興國泰52購02
088313,Unknown,滬深2X凱基55購02
088314,Unknown,FB越南凱基54購01
088322,Unknown,鴻海凱基54購09
088324,Unknown,台積電凱基67購07
088325,Unknown,智邦凱基55購03
088329,Unknown,聯發科凱基56購02
088332,Unknown,奇鋐凱基54購03
088333,Unknown,欣興凱基56購01
088334,Unknown,欣興凱基56購02
088335,Unknown,世芯凱基54購05
088338,Unknown,緯穎凱基53購04
088341,Unknown,臺股指凱基59購06
088344,Unknown,台玻群益53購01
088347,Unknown,台積電群益57購03
088351,Unknown,全新群益53購02
088352,Unknown,長榮群益53購01
088353,Unknown,台新金群益52購01
088354,Unknown,欣興群益52購03
088355,Unknown,景碩群益52購01
088356,Unknown,景碩群益53購02
088359,Unknown,聯茂群益53購01
088360,Unknown,同欣電群益52購01
088366,Unknown,南電群益57購01
088368,Unknown,美費半元大54購01
088370,Unknown,華城元大54購04
088376,Unknown,台積電元大54購16
088377,Unknown,台積電元大54購17
088378,Unknown,智邦元大54購03
088380,Unknown,台光電元大54購06
088385,Unknown,奇鋐元大54購09
088388,Unknown,欣興元大54購03
088389,Unknown,緯創元大54購07
088390,Unknown,新日興元大57購01
088393,Unknown,世芯元大54購09
088399,Unknown,材料元大54購02
088404,Unknown,精成科元大54購03
088412,Unknown,鴻海統一67購02
088413,Unknown,台積電統一57購13
088414,Unknown,英業達統一57購01
088415,Unknown,英業達統一57購02
088416,Unknown,英業達統一61購01
088417,Unknown,全新統一57購02
088418,Unknown,全新統一61購01
088419,Unknown,敦陽科統一57購01
088420,Unknown,八方統一57購01
088421,Unknown,欣興統一57購04
088422,Unknown,臻鼎統一61購01
088423,Unknown,精成科統一53購01
088424,Unknown,聯茂統一61購01
088426,Unknown,南電統一61購01
088427,Unknown,南電統一67購01
088428,Unknown,東哥統一61購01
088429,Unknown,東哥統一61購02
088430,Unknown,鈺齊統一57購01
088431,Unknown,聯鈞中信52購01
088433,Unknown,奇鋐第一57購02
088434,Unknown,世芯第一57購05
088436,Unknown,亞翔富邦52購01
088437,Unknown,緯穎富邦52購04
088438,Unknown,南電富邦53購01
088439,Unknown,南電富邦55購01
088440,Unknown,美時永豐54購02
088444,Unknown,京元電永豐52購02
088446,Unknown,新日興永豐52購03
088447,Unknown,聯鈞永豐52購02
088448,Unknown,聯鈞永豐54購02
088450,Unknown,南電永豐54購01
088451,Unknown,元債2X元富57購01
088455,Unknown,楠梓電元富52購01
088459,Unknown,欣興元富52購04
088465,Unknown,聯鈞元富54購02
088466,Unknown,聯鈞元富57購01
088468,Unknown,世芯元富57購03
088472,Unknown,南電國票53購01
088473,Unknown,南電國票54購01
088474,Unknown,台達電國泰54購01
088475,Unknown,華通國泰52購01
088476,Unknown,聯發科國泰56購03
088477,Unknown,景碩國泰52購02
088478,Unknown,聯鈞國泰52購02
088479,Unknown,祥碩國泰52購02
088480,Unknown,瀚宇博國泰52購01
088481,Unknown,洋基國泰52購01
088486,Unknown,T50反1元大54購02
088487,Unknown,T50反1元大55購01
088489,Unknown,華城元大54購05
088491,Unknown,台達電元大55購01
088493,Unknown,台積電元大57購04
088494,Unknown,台積電元大57購05
088495,Unknown,智邦元大54購04
088499,Unknown,台光電元大54購07
088504,Unknown,奇鋐元大54購10
088508,Unknown,欣興元大54購04
088512,Unknown,景碩元大54購01
088513,Unknown,景碩元大55購01
088516,Unknown,聯鈞元大56購01
088517,Unknown,聯鈞元大57購01
088520,Unknown,世芯元大54購10
088521,Unknown,神達元大54購03
088522,Unknown,材料元大54購03
088523,Unknown,亞翔元大54購03
088524,Unknown,亞翔元大57購01
088532,Unknown,滬深2X群益53購05
088533,Unknown,滬深2X群益53購06
088536,Unknown,台積電群益57購04
088538,Unknown,光罩群益54購01
088541,Unknown,亞力統一54購01
088545,Unknown,聯發科群益54購05
088546,Unknown,欣興群益52購04
088550,Unknown,富世達群益54購02
088552,Unknown,臺股指群益55購10
088553,Unknown,台達電統一57購03
088555,Unknown,台達電統一57購04
088556,Unknown,台達電統一61購01
088557,Unknown,國巨統一59購01
088558,Unknown,矽統統一56購02
088559,Unknown,燿華統一57購01
088560,Unknown,技嘉統一59購01
088561,Unknown,微星統一59購01
088562,Unknown,台光電統一57購01
088563,Unknown,威盛統一57購02
088564,Unknown,威盛統一59購01
088565,Unknown,威盛統一61購01
088566,Unknown,毅嘉統一57購01
088567,Unknown,毅嘉統一59購01
088568,Unknown,毅嘉統一59購02
088569,Unknown,京元電統一61購01
088570,Unknown,聯發科統一59購01
088571,Unknown,宏達電統一59購02
088572,Unknown,雄獅統一57購02
088573,Unknown,晟銘電統一5A購01
088574,Unknown,奇鋐統一56購02
088575,Unknown,奇鋐統一61購01
088576,Unknown,欣興統一53購02
088577,Unknown,欣興統一59購01
088578,Unknown,欣興統一63購01
088579,Unknown,日電貿統一57購01
088580,Unknown,日電貿統一57購02
088581,Unknown,日電貿統一59購01
088582,Unknown,景碩統一61購01
088583,Unknown,聯鈞統一67購01
088584,Unknown,世芯統一67購02
