"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-09-15","2454","2454","unknown","0","50.63","50","0","0.7873",""
"2025-09-15","2603","2603","unknown","-1.0782","49.31","50","1.08","-0.318",""
"2025-09-15","2609","2609","unknown","-0.885","49.18","50","0.88","-0.5874",""
"2025-09-15","2615","2615","unknown","-0.5","49.29","50","0.5","-0.6338",""
"2025-09-16","2317","2317","unknown","-0.2315","50.52","50","0.23","0.765",""
"2025-09-16","2330","2330","unknown","1.992","50.25","50","1.99","1.3032",""
"2025-09-16","2454","2454","unknown","3.367","48.93","50","3.37","0.3418",""
"2025-09-16","2603","2603","unknown","0","49.92","50","0","-0.1036",""
"2025-09-16","2609","2609","unknown","0","49.7","50","0","-0.3795",""
"2025-09-16","2615","2615","unknown","1.005","49.45","50","1.01","-0.1894",""
"2025-09-17","2317","2317","unknown","-1.6241","49.51","50","1.62","0.1992",""
"2025-09-17","2330","2330","unknown","-1.1719","50.05","50","1.17","0.6521",""
"2025-09-17","2454","2454","unknown","-1.6287","49.57","50","1.63","0.281",""
"2025-09-17","2603","2603","unknown","0","49.83","50","0","-0.212",""
"2025-09-17","2609","2609","unknown","0.1786","49.74","50","0.18","-0.2387",""
"2025-09-17","2615","2615","unknown","-0.2488","49.77","50","0.25","-0.1653",""
"2025-09-18","2317","2317","unknown","1.4151","49.48","50","1.42","0.0537",""
"2025-09-18","2330","2330","unknown","1.581","49.95","50","1.58","0.7235",""
"2025-09-18","2454","2454","unknown","0","50.33","50","0","0.4152",""
"2025-09-18","2603","2603","unknown","0.545","49.92","50","0.54","0.1666",""
"2025-09-18","2609","2609","unknown","0","50.18","50","0","0.2191",""
"2025-09-18","2615","2615","unknown","0.8728","50.03","50","0.87","0.479",""
"2025-09-19","2317","2317","unknown","-0.4651","49.56","50","0.47","-0.3191",""
"2025-09-19","2330","2330","unknown","-1.5564","49.45","50","1.56","0.0896",""
"2025-09-19","2454","2454","unknown","-4.6358","47.68","50","4.64","-0.5795",""
"2025-09-19","2603","2603","unknown","2.168","49.39","50","2.17","0.327",""
