code,name,market,industry,isin,list_date
8932,智通*,TPEx,其他業,TW0008932005,2001/03/29
8933,愛地雅,TPEx,運動休閒,TW0008933003,2001/03/28
8935,邦泰,TPEx,其他業,TW0008935008,2002/03/26
8936,國統,TPEx,其他業,TW0008936006,2002/09/09
8937,合騏,TPEx,其他業,TW0008937004,2002/10/29
8938,明安,TPEx,運動休閒,TW0008938002,2002/12/02
8941,關中,TPEx,居家生活,TW0008941006,2003/01/20
8942,森鉅,TPEx,其他業,TW0008942004,2003/05/16
9949,琉園,TPEx,文化創意業,TW0009949008,2003/11/21
9950,萬國通,TPEx,塑膠工業,TW0009950006,2004/02/17
9951,皇田,TPEx,電機機械,TW0009951004,2003/12/18
9960,邁達康,TPEx,運動休閒,TW0009960005,2004/12/06
9962,有益,TPEx,鋼鐵工業,TW0009962001,2006/07/10
1260,富味鄉,ESB,食品工業,TW0001260008,2012/11/26
1269,乾杯,ESB,觀光餐旅,TW0001269009,2016/08/29
1271,晨暉生技,ESB,生技醫療業,TW0001271005,2021/01/18
1293,利統,ESB,食品工業,TW0001293009,2021/10/29
1343,旭東環保,ESB,綠能環保,TW0001343002,2021/03/25
1480,東盟開發,ESB,鋼鐵工業,TW0001480002,2023/10/27
1594,日高,ESB,電機機械,TW0001594000,2010/10/13
1780,立弘,ESB,生技醫療業,TW0001780005,2010/04/29
2071,震南鐵,ESB,鋼鐵工業,TW0002071008,2019/09/23
2072,世紀風電,ESB,鋼鐵工業,TW0002072006,2020/11/30
2237,華德動能,ESB,電機機械,TW0002237005,2014/12/23
2245,詠勝昌*,ESB,電機機械,TW0002245008,2016/12/15
2249,湧盛,ESB,電機機械,TW0002249000,2019/12/19
2252,為昇科,ESB,其他電子業,TW0002252004,2021/08/23
2255,凱銳光電,ESB,其他電子業,TW0002255007,2021/11/30
