"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-12-15","2609","2609","unknown","0.9843","48","0","0","-3.3898",""
"2025-12-15","2615","2615","unknown","0.6394","73","0","0","-3.317",""
"2025-12-16","2317","2317","unknown","-1.5801","47","0","0","-5.2174",""
"2025-12-16","2330","2330","unknown","-1.0345","76","0","0","2.1352",""
"2025-12-16","2454","2454","unknown","0","86","0","0","21.3675",""
"2025-12-16","2603","2603","unknown","0","51","0","0","2.2284",""
"2025-12-16","2609","2609","unknown","0.3899","50","0","0","-0.1938",""
"2025-12-16","2615","2615","unknown","-0.7624","72","0","0","-6.2425",""
"2025-12-17","2317","2317","unknown","-0.6881","47","0","0","-5.4585",""
"2025-12-17","2330","2330","unknown","-0.3484","76","0","0","2.509",""
"2025-12-17","2454","2454","unknown","0.3521","86","0","0","22.8448",""
"2025-12-17","2603","2603","unknown","0.2725","51","0","0","2.507",""
"2025-12-17","2609","2609","unknown","0.1942","50","0","0","0.1942",""
"2025-12-17","2615","2615","unknown","-0.128","72","0","0","-5.4545",""
"2025-12-18","2317","2317","unknown","-0.2309","46","0","0","-8.6681",""
"2025-12-18","2330","2330","unknown","0","74","0","0","-1.7182",""
"2025-12-18","2454","2454","unknown","-0.3509","85","0","0","19.8312",""
"2025-12-18","2603","2603","unknown","-0.5435","50","0","0","0.274",""
"2025-12-18","2609","2609","unknown","-1.7442","49","0","0","-1.7442",""
"2025-12-18","2615","2615","unknown","-2.0513","72","0","0","-6.6015",""
"2025-12-19","2317","2317","unknown","2.5463","49","0","0","-1.5556",""
"2025-12-19","2330","2330","unknown","0","77","0","0","3.2491",""
"2025-12-19","2454","2454","unknown","-0.7042","87","0","0","23.1441",""
"2025-12-19","2603","2603","unknown","1.3661","52","0","0","3.0556",""
"2025-12-19","2609","2609","unknown","3.1558","51","0","0","2.549",""
"2025-12-19","2615","2615","unknown","2.0942","74","0","0","-2.133",""
"2025-12-22","2317","2317","unknown","1.1287","51","0","0","1.8182",""
"2025-12-22","2330","2330","unknown","2.4476","78","0","0","6.5455",""
"2025-12-22","2454","2454","unknown","-0.7092","86","0","0","21.7391",""
"2025-12-22","2603","2603","unknown","0.2695","52","0","0","3.9106",""
"2025-12-22","2609","2609","unknown","0.7648","50","0","0","0.7648",""
"2025-12-22","2615","2615","unknown","0.2564","74","0","0","-1.6352",""
"2025-12-23","2317","2317","unknown","0","51","0","0","2.2831",""
"2025-12-23","2330","2330","unknown","1.7065","78","0","0","5.3004",""
"2025-12-23","2454","2454","unknown","-0.7143","84","0","0","17.2996",""
"2025-12-23","2603","2603","unknown","0","52","0","0","3.0471",""
"2025-12-23","2609","2609","unknown","0.1898","51","0","0","2.924",""
"2025-12-23","2615","2615","unknown","0.3836","75","0","0","0",""
"2025-12-24","2317","2317","unknown","0","49","0","0","-1.3216",""
"2025-12-24","2330","2330","unknown","0.3356","77","0","0","3.8194",""
"2025-12-24","2454","2454","unknown","-0.7194","78","0","0","6.1538",""
"2025-12-24","2603","2603","unknown","1.3441","52","0","0","3.5714",""
"2025-12-24","2609","2609","unknown","4.7348","53","0","0","5.3333",""
"2025-12-24","2615","2615","unknown","0.2548","48","0","0","-4.8368",""
"2025-12-26","2317","2317","unknown","0.6696","49","0","0","-2.381",""
"2025-12-26","2330","2330","unknown","1.0033","78","0","0","5.2265",""
"2025-12-26","2454","2454","unknown","0.3623","77","0","0","3.3582",""
"2025-12-26","2603","2603","unknown","1.3263","53","0","0","5.8172",""
"2025-12-26","2609","2609","unknown","1.4467","54","0","0","7.6775",""
"2025-12-26","2615","2615","unknown","1.3977","49","0","0","-1.9656",""
"2025-12-29","2317","2317","unknown","2.439","51","0","0","2.439",""
"2025-12-29","2330","2330","unknown","1.3245","78","0","0","6.25",""
"2025-12-29","2454","2454","unknown","2.5271","76","0","0","1.7921",""
"2025-12-29","2603","2603","unknown","-0.2618","53","0","0","6.1281",""
"2025-12-29","2609","2609","unknown","0.8913","54","0","0","8.8462",""
"2025-12-29","2615","2615","unknown","0.5012","50","0","0","-0.4963",""
"2025-12-30","2317","2317","unknown","-1.2987","51","0","0","2.7027",""
"2025-12-30","2330","2330","unknown","-0.6536","79","0","0","7.8014",""
"2025-12-30","2454","2454","unknown","0","74","0","0","-1.7301",""
"2025-12-30","2603","2603","unknown","0.2625","78","0","0","5.2342",""
"2025-12-30","2609","2609","unknown","-0.53","54","0","0","7.4427",""
"2025-12-30","2615","2615","unknown","-0.8728","49","0","0","-2.0936",""
"2025-12-31","2317","2317","unknown","1.0965","52","0","0","3.8288",""
"2025-12-31","2330","2330","unknown","1.9737","79","0","0","8.3916",""
"2025-12-31","2454","2454","unknown","0.7042","76","0","0","1.0601",""
"2025-12-31","2603","2603","unknown","-0.5236","77","0","0","4.6832",""
"2025-12-31","2609","2609","unknown","-1.0657","54","0","0","7.1154",""
"2025-12-31","2615","2615","unknown","-0.8805","49","0","0","-2.4752",""
"2026-01-02","2317","2317","unknown","0.6508","51","0","0","2.2026",""
"2026-01-02","2330","2330","unknown","2.2581","80","0","0","9.3103",""
"2026-01-02","2454","2454","unknown","2.7972","77","0","0","5",""
"2026-01-02","2603","2603","unknown","1.5789","78","0","0","5.7534",""
"2026-01-02","2609","2609","unknown","0.5386","54","0","0","7.8998",""
"2026-01-02","2615","2615","unknown","1.0152","49","0","0","-1.118",""
"2026-01-05","2317","2317","unknown","1.0776","51","0","0","2.6258",""
"2026-01-05","2330","2330","unknown","5.3628","83","0","0","15.5709",""
"2026-01-05","2454","2454","unknown","3.7415","79","0","0","8.5409",""
"2026-01-05","2603","2603","unknown","-1.5544","76","0","0","2.981",""
"2026-01-05","2609","2609","unknown","-1.9643","52","0","0","4.5714",""
"2026-01-05","2615","2615","unknown","-1.5075","49","0","0","-2.6087",""
"2026-01-06","2317","2317","unknown","0.6397","51","0","0","2.1645",""
"2026-01-06","2330","2330","unknown","2.0958","83","0","0","16.7808",""
"2026-01-06","2454","2454","unknown","-2.623","77","0","0","4.2105",""
"2026-01-06","2603","2603","unknown","-0.2632","77","0","0","3.5519",""
"2026-01-06","2609","2609","unknown","1.0929","54","0","0","7.3501",""
"2026-01-06","2615","2615","unknown","-0.2551","49","0","0","-1.8821",""
"2026-01-07","2317","2317","unknown","1.0593","51","0","0","2.8017",""
"2026-01-07","2330","2330","unknown","-1.7595","81","0","0","12.0401",""
"2026-01-07","2454","2454","unknown","0.3367","77","0","0","3.4722",""
"2026-01-07","2603","2603","unknown","3.1662","79","0","0","8.6111",""
"2026-01-07","2609","2609","unknown","3.7838","56","0","0","12.5",""
"2026-01-07","2615","2615","unknown","2.9412","51","0","0","2.0279",""
"2026-01-08","2317","2317","unknown","-3.7736","49","0","0","-2.3404",""
"2026-01-08","2330","2330","unknown","0.597","82","0","0","13.8514",""
"2026-01-08","2454","2454","unknown","-3.0201","76","0","0","1.7606",""
"2026-01-08","2603","2603","unknown","-1.023","79","0","0","8.4034",""
"2026-01-08","2609","2609","unknown","-2.2569","81","0","0","11.7063",""
"2026-01-08","2615","2615","unknown","-1.6149","50","0","0","0.6353",""
"2026-01-09","2317","2317","unknown","0.4357","49","0","0","-1.2848",""
"2026-01-09","2330","2330","unknown","-0.2967","81","0","0","11.6279",""
"2026-01-09","2454","2454","unknown","-1.7301","74","0","0","-2.7397",""
"2026-01-09","2603","2603","unknown","0","79","0","0","8.1006",""
"2026-01-09","2609","2609","unknown","-0.1776","81","0","0","11.0672",""
"2026-01-09","2615","2615","unknown","0","50","0","0","0.7634",""
"2026-01-12","2317","2317","unknown","-0.8677","51","0","0","1.1062",""
"2026-01-12","2330","2330","unknown","0.5952","82","0","0","14.966",""
"2026-01-12","2454","2454","unknown","1.7606","77","0","0","3.5842",""
"2026-01-12","2603","2603","unknown","1.0336","79","0","0","8.3102",""
"2026-01-12","2609","2609","unknown","-0.1779","80","0","0","10.6509",""
"2026-01-12","2615","2615","unknown","0.5051","51","0","0","1.5306",""
"2026-01-13","2317","2317","unknown","-0.8753","50","0","0","-0.2203",""
"2026-01-13","2330","2330","unknown","1.1834","83","0","0","15.5405",""
"2026-01-13","2454","2454","unknown","2.7682","78","0","0","5.694",""
"2026-01-13","2603","2603","unknown","-0.2558","78","0","0","6.5574",""
"2026-01-13","2609","2609","unknown","-1.2478","80","0","0","9.0551",""
"2026-01-13","2615","2615","unknown","-0.8794","50","0","0","0.8951",""
"2026-01-14","2317","2317","unknown","3.532","53","0","0","5.8691",""
"2026-01-14","2330","2330","unknown","0","84","0","0","17.931",""
"2026-01-14","2454","2454","unknown","1.0101","78","0","0","5.6338",""
"2026-01-14","2603","2603","unknown","-0.5128","78","0","0","5.7221",""
"2026-01-14","2609","2609","unknown","0","79","0","0","7.9922",""
"2026-01-14","2615","2615","unknown","-0.1267","50","0","0","0.1271",""
"2026-01-15","2317","2317","unknown","-0.4264","54","0","0","7.1101",""
"2026-01-15","2330","2330","unknown","-1.1696","84","0","0","17.77",""
"2026-01-15","2454","2454","unknown","-0.6667","77","0","0","4.9296",""
"2026-01-15","2603","2603","unknown","0.5155","78","0","0","6.267",""
"2026-01-15","2609","2609","unknown","0.1805","79","0","0","7.767",""
"2026-01-15","2615","2615","unknown","-0.1269","50","0","0","0.7682",""
"2026-01-16","2317","2317","unknown","0.4283","54","0","0","8.3141",""
"2026-01-16","2330","2330","unknown","2.9586","86","0","0","21.6783",""
"2026-01-16","2454","2454","unknown","1.0067","78","0","0","5.614",""
"2026-01-16","2603","2603","unknown","-2.5641","77","0","0","3.2609",""
"2026-01-16","2609","2609","unknown","-1.8018","78","0","0","5.6202",""
"2026-01-16","2615","2615","unknown","-1.906","49","0","0","-1.0256",""
"2026-01-19","2317","2317","unknown","-2.1322","53","0","0","6.25",""
"2026-01-19","2330","2330","unknown","1.1494","87","0","0","23.0769",""
"2026-01-19","2454","2454","unknown","-1.3289","77","0","0","4.5775",""
"2026-01-19","2603","2603","unknown","-1.3158","76","0","0","2.459",""
"2026-01-19","2609","2609","unknown","-0.9174","78","0","0","6.5089",""
"2026-01-19","2615","2615","unknown","-1.5544","50","0","0","-0.5236",""
"2026-01-20","2317","2317","unknown","-2.6144","50","0","0","0.9029",""
"2026-01-20","2330","2330","unknown","0.8523","87","0","0","24.1259",""
"2026-01-20","2454","2454","unknown","0","78","0","0","5.3191",""
"2026-01-20","2603","2603","unknown","1.8667","76","0","0","2.965",""
"2026-01-20","2609","2609","unknown","2.037","78","0","0","5.3537",""
"2026-01-20","2615","2615","unknown","0.7895","49","0","0","-1.7949",""
"2026-01-21","2317","2317","unknown","-2.0134","49","0","0","-2.2321",""
"2026-01-21","2330","2330","unknown","-1.9718","84","0","0","18.7713",""
"2026-01-21","2454","2454","unknown","-1.3468","77","0","0","4.6429",""
"2026-01-21","2603","2603","unknown","0","76","0","0","2.6882",""
"2026-01-21","2609","2609","unknown","0.1815","77","0","0","4.7438",""
"2026-01-21","2615","2615","unknown","-0.7833","49","0","0","-2.8133",""
"2026-01-22","2317","2317","unknown","2.0548","50","0","0","-0.2232",""
"2026-01-22","2330","2330","unknown","1.1494","84","0","0","18.1208",""
"2026-01-22","2454","2454","unknown","1.3652","78","0","0","6.8345",""
"2026-01-22","2603","2603","unknown","0.7853","77","0","0","3.4946",""
"2026-01-22","2609","2609","unknown","0.5435","78","0","0","5.1136",""
"2026-01-22","2615","2615","unknown","0.7895","49","0","0","-2.4204",""
"2026-01-23","2317","2317","unknown","-0.8949","49","0","0","-1.1161",""
"2026-01-23","2330","2330","unknown","0.5682","84","0","0","18.3946",""
"2026-01-23","2454","2454","unknown","9.7643","84","0","0","18.1159",""
"2026-01-23","2603","2603","unknown","-1.5584","75","0","0","0.5305",""
"2026-01-23","2609","2609","unknown","-2.1622","74","0","0","-1.8083",""
"2026-01-23","2615","2615","unknown","-1.1749","48","0","0","-3.8119",""
"2026-01-26","2317","2317","unknown","1.1287","50","0","0","-0.6652",""
"2026-01-26","2330","2330","unknown","-0.8475","83","0","0","16.2252",""
"2026-01-26","2454","2454","unknown","8.589","89","0","0","27.7978",""
"2026-01-26","2603","2603","unknown","-0.5277","74","0","0","-1.3089",""
"2026-01-26","2609","2609","unknown","0","73","0","0","-3.2086",""
"2026-01-26","2615","2615","unknown","-1.0568","47","0","0","-6.1404",""
"2026-01-27","2317","2317","unknown","0.6696","49","0","0","-2.381",""
"2026-01-27","2330","2330","unknown","1.4245","83","0","0","16.3399",""
"2026-01-27","2454","2454","unknown","0.2825","87","0","0","25",""
"2026-01-27","2603","2603","unknown","-0.7958","74","0","0","-1.8373",""
"2026-01-27","2609","2609","unknown","-0.7366","73","0","0","-4.7703",""
"2026-01-27","2615","2615","unknown","-1.2016","46","0","0","-7.7307",""
"2026-01-28","2317","2317","unknown","0","49","0","0","-1.0965",""
