rsi_period,buy_rsi,sell_rsi,cooldown_bars,trend_mode,sma_fast,sma_slow,trade_count,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,report
20,35,55,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c0_tboth.md
20,35,55,0,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s55_c0_tsma_cross.md
20,35,55,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c0_tclose_above_slow.md
20,35,55,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c2_tboth.md
20,35,55,2,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s55_c2_tsma_cross.md
20,35,55,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c2_tclose_above_slow.md
20,35,55,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c3_tboth.md
20,35,55,3,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s55_c3_tsma_cross.md
20,35,55,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c3_tclose_above_slow.md
20,35,55,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c5_tboth.md
20,35,55,5,sma_cross,50,200,1,0.0,-0.79,-0.79,-0.86,reports/scan_tmp/report_2330_p20_b35_s55_c5_tsma_cross.md
20,35,55,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s55_c5_tclose_above_slow.md
20,35,60,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c0_tboth.md
20,35,60,0,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s60_c0_tsma_cross.md
20,35,60,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c0_tclose_above_slow.md
20,35,60,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c2_tboth.md
20,35,60,2,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s60_c2_tsma_cross.md
20,35,60,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c2_tclose_above_slow.md
20,35,60,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c3_tboth.md
20,35,60,3,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s60_c3_tsma_cross.md
20,35,60,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c3_tclose_above_slow.md
20,35,60,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c5_tboth.md
20,35,60,5,sma_cross,50,200,1,0.0,-0.79,-0.79,-0.86,reports/scan_tmp/report_2330_p20_b35_s60_c5_tsma_cross.md
20,35,60,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s60_c5_tclose_above_slow.md
20,35,65,0,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c0_tboth.md
20,35,65,0,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s65_c0_tsma_cross.md
20,35,65,0,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c0_tclose_above_slow.md
20,35,65,2,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c2_tboth.md
20,35,65,2,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s65_c2_tsma_cross.md
20,35,65,2,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c2_tclose_above_slow.md
20,35,65,3,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c3_tboth.md
20,35,65,3,sma_cross,50,200,2,50.0,1.6,-0.94,0.44,reports/scan_tmp/report_2330_p20_b35_s65_c3_tsma_cross.md
20,35,65,3,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c3_tclose_above_slow.md
20,35,65,5,both,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c5_tboth.md
20,35,65,5,sma_cross,50,200,1,0.0,-0.79,-0.79,-0.86,reports/scan_tmp/report_2330_p20_b35_s65_c5_tsma_cross.md
20,35,65,5,close_above_slow,50,200,0,0.0,0.0,0.0,0.0,reports/scan_tmp/report_2330_p20_b35_s65_c5_tclose_above_slow.md
20,40,55,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p20_b40_s55_c0_tboth.md
20,40,55,0,sma_cross,50,200,4,0.0,-7.78,-7.78,-1.4,reports/scan_tmp/report_2330_p20_b40_s55_c0_tsma_cross.md
20,40,55,0,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p20_b40_s55_c0_tclose_above_slow.md
20,40,55,2,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p20_b40_s55_c2_tboth.md
20,40,55,2,sma_cross,50,200,4,0.0,-7.78,-7.78,-1.4,reports/scan_tmp/report_2330_p20_b40_s55_c2_tsma_cross.md
20,40,55,2,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p20_b40_s55_c2_tclose_above_slow.md
20,40,55,3,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p20_b40_s55_c3_tboth.md
