date,open,high,low,close,volume,sma_fast,sma_slow,trend_gate,rsi,sig_buy,sig_sell
2024-11-25,1045.0,1050.0,1030.0,1030.0,49566674,1019.36,,False,48.40029010728067,False,False
2024-11-26,1015.0,1020.0,1010.0,1010.0,27312402,1021.48,,False,43.490884863676975,False,False
2024-11-27,1010.0,1020.0,1000.0,1000.0,31276090,1023.46,,False,41.23852033530342,False,False
2024-11-28,1005.0,1005.0,992.0,1005.0,33689956,1024.76,,False,42.832719780981435,False,False
2024-11-29,995.0,1010.0,994.0,996.0,40094983,1025.74,,False,40.69267266966429,False,False
2024-12-02,1020.0,1040.0,1015.0,1035.0,31168404,1027.5,,False,51.90622743288001,False,False
2024-12-03,1060.0,1065.0,1055.0,1055.0,43414538,1029.78,,False,56.45337955297165,False,False
2024-12-04,1065.0,1070.0,1055.0,1070.0,33466290,1031.98,,False,59.54290171781136,False,False
2024-12-05,1070.0,1080.0,1070.0,1075.0,31425359,1034.02,,False,60.54768585579938,False,False
2024-12-06,1075.0,1080.0,1060.0,1065.0,30765288,1035.78,908.515,True,57.473296776421314,False,True
2024-12-09,1070.0,1075.0,1065.0,1075.0,22247131,1037.54,910.405,True,59.67818239104302,False,False
2024-12-10,1070.0,1075.0,1060.0,1065.0,28506584,1038.74,912.315,True,56.52224461964578,False,False
2024-12-11,1045.0,1060.0,1045.0,1045.0,25264194,1039.34,914.15,True,50.74261070620568,False,False
2024-12-12,1060.0,1065.0,1055.0,1060.0,22791260,1040.54,916.015,True,54.500416233910606,False,False
2024-12-13,1060.0,1070.0,1055.0,1065.0,20423659,1042.7,917.935,True,55.713246930416936,False,False
2024-12-16,1085.0,1085.0,1075.0,1085.0,39722392,1044.96,919.9,True,60.27471324595164,False,False
2024-12-17,1090.0,1095.0,1075.0,1075.0,37880707,1046.92,921.79,True,57.10749196743545,False,True
2024-12-18,1075.0,1090.0,1070.0,1085.0,41863190,1048.52,923.725,True,59.404716850780765,False,False
2024-12-19,1065.0,1070.0,1055.0,1070.0,42702851,1049.72,925.585,True,54.67448213387378,False,False
2024-12-20,1060.0,1060.0,1035.0,1035.0,52030520,1050.02,927.31,True,45.558689229398276,False,False
2024-12-23,1065.0,1080.0,1060.0,1080.0,30728473,1050.72,929.265,True,55.769510426282906,True,False
2024-12-24,1095.0,1095.0,1080.0,1080.0,26461906,1051.42,931.04,True,55.76951042628291,False,False
2024-12-25,1090.0,1090.0,1080.0,1085.0,15481622,1051.72,932.815,True,56.81329066231372,False,False
2024-12-26,1085.0,1090.0,1085.0,1085.0,14374900,1052.52,934.565,True,56.81329066231372,False,False
2024-12-27,1080.0,1095.0,1080.0,1090.0,24948385,1053.62,936.215,True,57.96377419228081,False,False
2024-12-30,1090.0,1095.0,1085.0,1090.0,23954634,1053.72,937.745,True,57.96377419228081,False,False
2024-12-31,1080.0,1085.0,1075.0,1075.0,28397820,1053.52,939.29,True,53.04698468445351,False,False
2025-01-02,1070.0,1075.0,1055.0,1065.0,43177098,1053.32,940.765,True,50.00186353878934,False,False
2025-01-03,1080.0,1085.0,1075.0,1075.0,30415096,1053.62,942.245,True,52.91279176961629,False,False
2025-01-06,1100.0,1125.0,1095.0,1125.0,69289786,1054.92,943.95,True,64.15124309184623,False,False
2025-01-07,1150.0,1160.0,1130.0,1130.0,48758688,1056.22,945.835,True,65.04958275486054,False,False
2025-01-08,1110.0,1130.0,1105.0,1105.0,45211419,1057.32,947.54,True,57.315744266283254,False,True
2025-01-09,1100.0,1115.0,1100.0,1100.0,27263215,1058.52,949.23,True,55.884683556933716,False,False
2025-01-10,1100.0,1110.0,1100.0,1100.0,22021522,1059.92,950.94,True,55.884683556933716,False,False
2025-01-13,1110.0,1115.0,1070.0,1075.0,56690300,1060.92,952.395,True,48.81675145941246,False,False
2025-01-14,1085.0,1090.0,1075.0,1090.0,28695247,1061.92,953.92,True,52.6835180115591,True,False
2025-01-15,1085.0,1085.0,1065.0,1065.0,35489482,1062.22,955.345,True,46.39275017022892,False,False
2025-01-16,1095.0,1115.0,1090.0,1105.0,47542962,1063.12,956.96,True,55.5402178994499,True,False
2025-01-17,1125.0,1125.0,1095.0,1120.0,59214050,1064.22,958.665,True,58.40649904193181,False,False
2025-01-20,1125.0,1135.0,1120.0,1120.0,29834528,1064.82,960.42,True,58.40649904193181,False,False
2025-01-21,1115.0,1125.0,1110.0,1120.0,21904213,1065.52,962.14,True,58.40649904193181,False,False
2025-01-22,1140.0,1150.0,1135.0,1135.0,42960405,1067.22,963.965,True,61.50604474091161,False,False
